1 1 TKN_MAIN main
15 6 TKN_SEMICOLON ;
16 1 TKN_COUT cout
16 6 TKN_ID a
16 7 TKN_SEMICOLON ;
17 1 TKN_COUT cout
17 6 TKN_ID a
17 7 TKN_ADD +
17 8 TKN_NUM 4
17 9 TKN_SEMICOLON ;
18 1 TKN_ID a
18 2 TKN_ASSIGN :=
18 4 TKN_NUM 7
18 5 TKN_SEMICOLON ;
19 1 TKN_ID a
19 2 TKN_ASSIGN :=
19 4 TKN_ID z
19 5 TKN_MULTI *
19 6 TKN_ID x
19 7 TKN_SEMICOLON ;
20 1 TKN_COUT cout
20 6 TKN_ID a
20 7 TKN_MORE >
20 8 TKN_NUM 4
20 9 TKN_SEMICOLON ;
21 1 TKN_IF if
21 3 TKN_LPAREN (
21 4 TKN_ID x
21 5 TKN_ADD +
21 6 TKN_NUM 4
21 7 TKN_MORE >
21 8 TKN_ID a
21 9 TKN_RPAREN )
21 11 TKN_THEN then
21 15 TKN_LBRACE {
22 1 TKN_ID a
22 2 TKN_ASSIGN :=
22 4 TKN_ID a
22 5 TKN_ADD +
22 6 TKN_NUM 3
22 7 TKN_SEMICOLON ;
23 1 TKN_RBRACE }
24 1 TKN_IF if
24 4 TKN_LPAREN (
24 5 TKN_NUM 2
24 6 TKN_LESS <
24 7 TKN_ID a
24 8 TKN_RPAREN )
24 10 TKN_THEN then
24 14 TKN_LBRACE {
25 5 TKN_ID y
25 6 TKN_ASSIGN :=
25 8 TKN_ID a
25 9 TKN_ADD +
25 10 TKN_NUM 3
25 11 TKN_SEMICOLON ;
26 5 TKN_RBRACE }
27 5 TKN_ELSE else
28 5 TKN_LBRACE {
29 6 TKN_IF if
29 8 TKN_LPAREN (
29 9 TKN_NUM 4
29 11 TKN_MORE >
29 12 TKN_NUM 2
29 13 TKN_RPAREN )
29 15 TKN_THEN then
30 6 TKN_LBRACE {
31 3 TKN_ID b
31 4 TKN_ASSIGN :=
31 6 TKN_NUM 3.2
31 9 TKN_SEMICOLON ;
32 3 TKN_RBRACE }
33 8 TKN_ELSE else
34 8 TKN_LBRACE {
35 9 TKN_ID b
35 10 TKN_ASSIGN :=
35 12 TKN_NUM 5.0
35 15 TKN_SEMICOLON ;
36 7 TKN_ID d
36 8 TKN_ASSIGN :=
36 10 TKN_ID a
36 11 TKN_ADD +
36 12 TKN_ID b
36 13 TKN_ADD +
36 14 TKN_ID c
36 15 TKN_MULTI *
36 16 TKN_NUM 5
36 17 TKN_SEMICOLON ;
37 8 TKN_RBRACE }
38 4 TKN_ID y
38 5 TKN_ASSIGN :=
38 7 TKN_ID y
38 8 TKN_ADD +
38 9 TKN_NUM 1
38 10 TKN_SEMICOLON ;
39 1 TKN_RBRACE }
40 1 TKN_ID a
40 2 TKN_PPLUS ++
40 4 TKN_SEMICOLON ;
41 1 TKN_REPEAT repeat
41 7 TKN_LBRACE {
42 3 TKN_ID y
42 4 TKN_ASSIGN :=
42 6 TKN_LPAREN (
42 7 TKN_ID y
42 8 TKN_ADD +
42 9 TKN_NUM 1
42 10 TKN_RPAREN )
42 11 TKN_MULTI *
42 12 TKN_NUM 2
42 13 TKN_ADD +
42 14 TKN_NUM 1
42 15 TKN_SEMICOLON ;
43 3 TKN_IF if
43 5 TKN_LPAREN (
43 6 TKN_ID a
43 7 TKN_EQUAL ==
43 9 TKN_ID b
43 10 TKN_RPAREN )
43 12 TKN_THEN then
44 3 TKN_LBRACE {
45 6 TKN_ID a
45 7 TKN_ASSIGN :=
45 9 TKN_ID a
45 10 TKN_ADD +
45 11 TKN_NUM 1
45 12 TKN_SEMICOLON ;
46 3 TKN_RBRACE }
47 3 TKN_ELSE else
48 3 TKN_LBRACE {
49 6 TKN_ID b
49 7 TKN_ASSIGN :=
49 9 TKN_ID b
49 10 TKN_ADD +
49 11 TKN_NUM 1
49 12 TKN_SEMICOLON ;
50 3 TKN_RBRACE }
51 1 TKN_RBRACE }
51 2 TKN_UNTIL until
51 7 TKN_LPAREN (
51 8 TKN_ID y
51 9 TKN_EQUAL ==
51 11 TKN_NUM 5
51 12 TKN_RPAREN )
51 13 TKN_SEMICOLON ;
52 1 TKN_WHILE while
52 6 TKN_LPAREN (
52 7 TKN_ID y
52 8 TKN_EQUAL ==
52 10 TKN_NUM 0
52 11 TKN_RPAREN )
52 12 TKN_LBRACE {
53 3 TKN_CIN cin
53 7 TKN_ID x
53 8 TKN_SEMICOLON ;
54 1 TKN_RBRACE }
55 1 TKN_RBRACE }
69 1 TKN_RBRACE }
